Stock Name,Symbol,Price
Adani Ports And Special Economic Zone Limited,ADANIPORTS,1470.30
Oberoi Realty Limited,OBEROIRLTY,1490.70
Voltas Limited,VOLTAS,1499.10
Torrent Power Limited,TORNTPOWER,1554.90
The Phoenix Mills Limited,PHOENIXLTD,1648.60
Astral Ltd,ASTRAL,1669.80
Cholamandalam Investment And Finance Company Limited,CHOLAFIN,1703.70
Godrej Properties Limited,GODREJPROP,1733.50
Sun Pharmaceuticals Industries Limited,SUNPHARMA,1752.50
Max Financial Services Limited,MFSL,1806.80
Bharti Airtel Limited,BHARTIARTL,1873.20
Bharat Forge Limited,BHARATFORG,1879.30
ICICI Lombard General Insurance Company Ltd,ICICIGI,1895.50
Blue Star Limited,BLUESTARCO,1902.50
Bajaj Finserv Limited,BAJAJFINSV,1941.90
Dalmia Bharat Limited,DALBHARAT,1959.50
SBI Life Insurance Company Ltd,SBILIFE,2032.20
Glenmark Pharmaceuticals Limited,GLENMARK,2123.30
Adani Enterprises Limited,ADANIENT,2124.60
Mazagon Dock Shipbuilders Ltd,MAZDOCK,2209.80
Colgate Palmolive (india) Limited,COLPAL,2214.90
Apl Apollo Tubes Limited,APLAPOLLO,2222.30
Mankind Pharma Ltd,MANKIND,2245.50
Mphasis Limited,MPHASIS,2255.50
Asian Paints Limited,ASIANPAINT,2307.10
Lupin Limited,LUPIN,2311.10
Hindustan Unilever Limited,HINDUNILVR,2320.60
Multi Commodity Exchange Of India Limited,MCX,2501.20
Srf Limited,SRF,2537.00
Tata Consultancy Services Limited,TCS,2613.50
Waaree Energies Ltd,WAAREEENER,2643.30
BSE (Bombay stock exchange) Ltd,BSE,2643.60
HDFC Asset Management Company Ltd,HDFCAMC,2649.80
Grasim Industries Limited,GRASIM,2777.30
Tube Investments of India Ltd,TIINDIA,2837.60
Pi Industries Limited,PIIND,3099.40
Mahindra & Mahindra Limited,M&M,3334.30
Siemens Limited,SIEMENS,3341.60
Muthoot Finance Limited,MUTHOOTFIN,3471.90
Kaynes Technology India Ltd,KAYNES,3736.60
Avenue Supermarts Ltd,DMART,3802.50
Tvs Motor Company Limited,TVSMOTOR,3813.10
Trent Limited,TRENT,3848.50
Hindustan Aeronautics Ltd,HAL,3951.60
Supreme Industries Limited,SUPREMEIND,3954.20
Larsen & Toubro Limited,LT,4066.70
Titan Company Limited,TITAN,4270.30
Torrent Pharmaceuticals Limited,TORNTPHARM,4369.20
LTIMindtree Ltd,LTM,4404.40
Tata Elxsi Limited,TATAELXSI,4449.30
Interglobe Aviation Limited,INDIGO,4520.40
Persistent Systems Limited,PERSISTENT,4673.40
Cummins India Limited,CUMMINSIND,4816.80
Kei Industries Limited,KEI,5206.00
Alkem Laboratories Limited,ALKEM,5566.00
Hero Motocorp Limited,HEROMOTOCO,5591.50
Britannia Industries Limited,BRITANNIA,5959.00
Abb India Limited,ABB,5983.00
Divi's Laboratories Limited,DIVISLAB,6403.50
Oracle Financial Services Software Limited,OFSS,6848.00
Apollo Hospitals Enterprise Limited,APOLLOHOSP,7791.50
Eicher Motors Limited,EICHERMOT,7826.00
Amber Enterprises India Ltd,AMBER,7884.50
Polycab India Ltd,POLYCAB,8548.50
Bajaj Auto Limited,BAJAJ-AUTO,9776.00
Dixon Technologies Ltd,DIXON,10151.00
Bajaj Holdings & Investment Limited,BAJAJHLDNG,10695.00
Ultratech Cement Limited,ULTRACEMCO,12521.00
Solar Industries India Limited,SOLARINDS,13989.00
Maruti Suzuki India Limited,MARUTI,14388.00
Hitachi Energy India Ltd,POWERINDIA,25500.00
Shree Cements Limited,SHREECEM,26125.00
Page Industries Limited,PAGEIND,31175.00
Bosch Limited,BOSCHLTD,35370.00
